Bassens;570000;574.2
Bassens;583000;574.2
Bassens-Appontements;570000;574.0
Bassens-Appontements;570511;006.0
Batilly;86000;325.8
Batz-sur-Mer;516000;517.4
Baud;474000;610.1
Baule;570000;143.1
Baume-les-Dames;852000;437.2
Bauvin-Provin;285000;233.9
Bauvin-Provin;286000;222.9
Bavay;251000;256.1
Bavay;253000;069.2
Bayard;20000;249.6
Bayeux;366000;268.7
Bayon;42000;014.9
Bayonne;655000;197.5
Bayonne-Allées-Marines;658000;203.5
Bazancourt;205000;071.9
Bazeilles;204000;164.6
Baziège;640000;279.7
Bazoches;205000;023.0
Béard;760000;024.2
Beaucaire;810000;000.3
Beaucaire-Marchandises;810000;002.2
Beaucaire-Marchandises;813000;086.0
Beaugency;570000;148.3
Beaulieu-Le Coudray;556000;005.2
Beaulieu-sur-Mer;930000;230.2
Beau-Marais;304000;040.3
Beaumont-de-Lomagne;649000;212.0
Beaumont-le-Roger;366000;143.3
Beaune;830000;351.8
Beaune-la-Rolande;684000;114.6
Beaurainville;308000;112.9
Beaurepaire;907000;020.1
Beautiran;640000;018.1
Beauvais;325000;078.7
Beauvoir-sur-Niort;500000;434.7
Beauvoisin;819000;015.6
Bécon-les-Bruyères;973000;005.0
Bédarieux;722000;474.6
Bédarieux;737000;457.9
Bédarrides;830000;727.9
Bedous;664000;275.7
Bègles;640000;003.1
Beillant;500000;501.0
Beillant;579000;000.0
Beinheim-Embranchement;145000;042.0
Belfort;1000;442.8
Belfort;852000;501.5
Belfort;854000;442.8
Belfort-Montbéliard-TGV;14000;133.5
Bellac;606000;431.3
Bellegarde;884000;064.0
Bellegarde;890000;134.1
Belle-Isle-Bégard;420000;519.3
Bellenaves;707000;375.5
Belleville;90000;351.7
Belleville-sur-Saône;830000;462.5
Belleville-Vendée;530000;063.2
Bellevue;420000;008.7
Bellignat;878000;106.1
Belloy-St-Martin;315000;029.6
Belvès;631000;570.7
Belvezet;723000;674.1
Belz-Ploemel;473000;591.9
Béna-Fanes;669000;061.4
Bénesse-Maremne;655000;178.8
Bénestroff;100000;034.3
Bénestroff;140000;101.1
Bénestroff;97000;056.9
Benfeld;115000;026.8
Bengy;690000;263.7
Béning;159000;106.1
Béning;172000;038.1
Bergerac;629000;607.8
Bergues;301000;296.7
Berlaimont;267000;079.9
Bernay;366000;158.2
Berre;830000;828.0
Bersac;590000;362.3
Berthelming;140000;078.6
Berthelming;168000;000.0
Bertrichamps;67000;414.4
Bertry;250000;186.0
